timestamp,frame,a0,a1,a2,a3,a4,a5
1746299060.184824,113,46.9,47.9,90.0,90.0,90.0,90.0
1746299060.2498891,114,46.6,47.7,90.0,90.0,90.0,90.0
1746299060.3179488,115,46.3,47.9,90.0,90.0,90.0,90.0
1746299060.383403,116,46.0,48.0,90.0,90.0,90.0,90.0
1746299060.4482172,117,45.9,47.9,90.0,90.0,90.0,90.0
1746299060.518653,118,46.2,47.5,90.0,90.0,90.0,90.0
1746299060.584048,119,46.7,47.1,90.0,90.0,90.0,90.0
1746299060.649143,120,46.5,46.9,90.0,90.0,90.0,90.0
1746299060.71986,121,46.3,46.9,90.0,90.0,90.0,90.0
1746299060.785533,122,46.1,47.2,90.0,90.0,90.0,90.0
1746299060.848604,123,45.3,46.6,90.0,90.0,90.0,90.0
1746299060.91952,124,44.1,46.1,90.0,90.0,90.0,90.0
1746299060.988925,125,42.4,43.4,90.0,90.0,90.0,90.0
1746299061.048136,126,41.7,40.6,90.0,90.0,90.0,90.0
1746299061.1194508,127,41.8,38.2,90.0,90.0,90.0,90.0
1746299061.186603,128,41.7,36.0,90.0,90.0,90.0,90.0
1746299061.245301,129,42.1,34.4,90.0,90.0,90.0,90.0
1746299061.318215,130,42.0,32.4,90.0,90.0,90.0,90.0
1746299061.386507,131,41.2,31.5,90.0,90.0,90.0,90.0
1746299061.447119,132,40.1,29.1,90.0,90.0,90.0,90.0
1746299061.519265,133,38.5,26.6,90.0,90.0,90.0,90.0
1746299061.5888572,134,36.6,23.4,90.0,90.0,90.0,90.0
1746299061.6493871,135,34.7,18.3,90.0,90.0,90.0,90.0
1746299061.720465,136,33.1,10.9,90.0,90.0,90.0,90.0
1746299061.786216,137,30.1,6.1,90.0,90.0,90.0,90.0
1746299061.84919,138,26.4,2.9,90.0,90.0,90.0,90.0
1746299061.921673,139,23.5,0.0,90.0,90.0,90.0,90.0
1746299061.987848,140,22.7,0.0,90.0,90.0,90.0,90.0
1746299062.05468,141,19.8,0.0,90.0,90.0,90.0,90.0
1746299062.120085,142,20.7,0.0,90.0,90.0,90.0,90.0
1746299062.184811,143,19.1,0.0,90.0,90.0,90.0,90.0
1746299062.249423,144,18.7,0.0,90.0,90.0,90.0,90.0
1746299062.3195891,145,16.5,0.0,90.0,90.0,90.0,90.0
1746299062.384979,146,15.1,0.0,90.0,90.0,90.0,90.0
1746299062.449145,147,14.0,0.0,90.0,90.0,90.0,90.0
1746299062.519604,148,12.0,0.0,90.0,90.0,90.0,90.0
1746299062.5862,149,12.4,0.0,90.0,90.0,90.0,90.0
1746299062.64895,150,14.5,0.0,90.0,90.0,90.0,90.0
1746299062.717462,151,17.1,1.9,90.0,90.0,90.0,90.0
1746299062.7834802,152,20.3,7.7,90.0,90.0,90.0,90.0
1746299062.8494442,153,21.3,11.3,90.0,90.0,90.0,90.0
1746299062.9194071,154,22.7,7.8,90.0,90.0,90.0,90.0
1746299062.988242,155,22.2,11.1,90.0,90.0,90.0,90.0
1746299063.04959,156,24.3,8.4,90.0,90.0,90.0,90.0
1746299063.1195679,157,22.9,5.4,90.0,90.0,90.0,90.0
1746299063.185992,158,22.8,8.2,90.0,90.0,90.0,90.0
1746299063.2474098,159,21.6,9.0,90.0,90.0,90.0,90.0
1746299063.32011,160,24.7,0.0,90.0,90.0,90.0,90.0
1746299063.389059,161,22.7,0.0,90.0,90.0,90.0,90.0
1746299063.4472902,162,25.8,0.0,90.0,90.0,90.0,90.0
1746299070.137512,262,97.7,96.1,90.0,90.0,90.0,90.0
1746299081.323894,429,19.8,0.0,90.0,90.0,90.0,90.0
1746299081.373976,430,23.9,11.7,90.0,90.0,90.0,90.0
1746299081.443558,431,26.7,29.9,90.0,90.0,90.0,90.0
1746299081.509469,432,27.3,45.8,90.0,90.0,90.0,90.0
1746299083.27201,458,28.8,21.3,90.0,90.0,90.0,90.0
1746299083.326793,459,32.9,26.9,90.0,90.0,90.0,90.0
1746299083.3940322,460,37.3,35.4,90.0,90.0,90.0,90.0
1746299083.45755,461,42.3,42.6,90.0,90.0,90.0,90.0
1746299083.523808,462,39.7,52.2,90.0,90.0,90.0,90.0
1746299083.591427,463,36.9,60.3,90.0,90.0,90.0,90.0
1746299083.7446558,465,13.4,68.2,90.0,90.0,90.0,90.0
